Rank,Regulatory Class,Model Year,Manufacturer,Model Name,Vehicle Type,Weight (lbs),Drive Type,Transmission,Gears,Fuel Delivery,Horsepower (HP),Engine Displacement,2-Cycle MPG_City,2-Cycle MPG_Hwy,2-Cycle MPG
"Low","Car","1975","GM","TORONADO","Car","5500","Front","Automatic","-","Carb","175","455","8.50000","12.10000","9.80000"
"Low","Car","1976","Jaguar Land Rover","JENSEN","Car","4500","Rear","Automatic","-","Carb","250","440","8.60000","12.80000","10.10000"
"Low","Car","1977","BMW","ROLLS ROYCE","Car","5500","Rear","Automatic","-","Carb","170","412","8.70000","11.40000","9.70000"
"Low","Car","1978","FCA","MONACO","Car","5000","Rear","Automatic","-","Carb","240","440","8.30000","11.20000","9.40000"
"Low","Car","1979","Aston Martin","ASTON MARTIN V8","Car","4500","Rear","Manual","5","Carb","60","326","7.60000","12.40000","9.20000"
"Low","Car","1980","Aston Martin","79 ASTON MARTIN","Car","4500","Rear","Manual","5","Carb","275","326","7.60000","12.40000","9.20000"
"Low","Car","1981","BMW","CAMARGUE","Car","5500","Rear","Automatic","3","Port","170","412","8.90000","12.20000","10.10000"
"Low","Car","1981","BMW","CORNICHE","Car","5500","Rear","Automatic","3","Port","170","412","8.90000","12.20000","10.10000"
"Low","Car","1982","FCA","QUATTROPORTE","Car","5000","Rear","Automatic with Lockup","3","Carb","288","301","8.50000","12.60000","9.90000"
"Low","Car","1983","FCA","QUATTROPORTE","Car","5000","Rear","Automatic with Lockup","3","Carb","288","301","8.50000","12.60000","9.90000"
"Low","Car","1984","FCA","QUATTROPORTE","Car","5000","Rear","Automatic with Lockup","3","Carb","288","301","8.50000","12.60000","9.90000"
"Low","Car","1985","FCA","QUATTROPORTE","Car","5000","Rear","Automatic with Lockup","3","Carb","288","301","8.50000","12.60000","9.90000"
"Low","Car","1986","VW","COUNTACH","Car","3500","Rear","Manual","5","Port","420","315","6.80000","13.40000","8.70000"
"Low","Car","1987","VW","COUNTACH","Car","3500","Rear","Manual","5","Port","420","315","6.80000","13.40000","8.70000"
"Low","Car","1988","VW","COUNTACH","Car","3500","Rear","Manual","5","Port","420","315","6.80000","13.40000","8.70000"
"Low","Car","1989","VW","COUNTACH","Car","3500","Rear","Manual","5","TBI","420","315","6.80000","13.40000","8.70000"
"Low","Car","1990","Aston Martin","LAG","Car","5000","Rear","Automatic with Lockup","3","Port","240","326","9.30000","13.90000","10.90000"
"Low","Car","1991","Vector","VECTOR W8","Car","4000","Rear","Automatic","3","Port","450","365","8.20000","13.70000","10.00000"
"Low","Car","1992","Vector","VECTOR W8","Car","4000","Rear","Automatic","3","Port","450","365","8.20000","13.70000","10.00000"
"Low","Car","1993","Vector","VECTOR W8","Car","4000","Rear","Automatic","3","Port","450","365","8.20000","13.70000","10.00000"
"Low","Car","1994","VW","DB132/DIABLO","Car","4000","4wd","Manual","5","Port","492","348","10.40000","18.10000","12.80000"
"Low","Car","1995","FCA","FERRARI F50","Car","3000","Rear","Manual","6","Port","510","287","8.40000","14.10000","10.30000"
"Low","Car","1996","VW","AVTECH SC_-_M12","Car","4000","Rear","Manual","5","Port","492","348","9.90000","16.20000","12.00000"
"Low","Car","1997","VW","DB132-144 -_DIABLO","Car","4000","4wd","Manual","5","Port","492","348","10.20000","18.10000","12.70000"
"Low","Car","1998","Ferrari","FERRARI 550_MARANELLO","Car","4000","Rear","Manual","6","Port","475","334","10.10000","18.90000","12.80000"
